,precision,recall,f1-score,support
1,0.22594142259414227,0.19708029197080293,0.21052631578947367,274.0
2,0.21235521235521235,0.20220588235294118,0.2071563088512241,272.0
3,0.2572463768115942,0.23986486486486486,0.24825174825174826,296.0
4,0.25405405405405407,0.2883435582822086,0.27011494252873564,326.0
5,0.17905405405405406,0.1948529411764706,0.18661971830985916,272.0
accuracy,0.22708333333333333,0.22708333333333333,0.22708333333333333,0.22708333333333333
macro avg,0.2257302239738114,0.22446950772945767,0.2245338067462082,1440.0
weighted avg,0.22731793014720067,0.22708333333333333,0.22661894351459422,1440.0
