,precision,recall,f1-score,support
calm,0.5116279069767442,0.515625,0.5136186770428015,256.0
focused,0.5234042553191489,0.5125,0.5178947368421053,240.0
mixed,0.4763779527559055,0.5307017543859649,0.5020746887966805,228.0
neutral,0.6017316017316018,0.5815899581589958,0.5914893617021276,239.0
overwhelmed,0.5777777777777777,0.5726872246696035,0.5752212389380531,227.0
restless,0.5274261603375527,0.5,0.5133470225872689,250.0
accuracy,0.5347222222222222,0.5347222222222222,0.5347222222222222,0.5347222222222222
macro avg,0.5363909424831218,0.535517322869094,0.5356076209848395,1440.0
weighted avg,0.5361346438505453,0.5347222222222222,0.5350917232939371,1440.0
