,precision,recall,f1-score,support
1,0.21132075471698114,0.20437956204379562,0.2077922077922078,274.0
2,0.20284697508896798,0.20955882352941177,0.20614828209764918,272.0
3,0.24573378839590443,0.24324324324324326,0.24448217317487267,296.0
4,0.24,0.2392638036809816,0.23963133640552994,326.0
5,0.13043478260869565,0.1323529411764706,0.13138686131386862,272.0
accuracy,0.2076388888888889,0.2076388888888889,0.2076388888888889,0.2076388888888889
macro avg,0.2060672601621098,0.20575967473478057,0.20588817215682562,1440.0
weighted avg,0.2080081432301424,0.2076388888888889,0.20779941866039087,1440.0
