,precision,recall,f1-score,support
1,0.3235294117647059,0.040145985401459854,0.07142857142857142,274.0
2,0.19805194805194806,0.22426470588235295,0.2103448275862069,272.0
3,0.22416302765647744,0.5202702702702703,0.3133265513733469,296.0
4,0.2292817679558011,0.254601226993865,0.24127906976744187,326.0
5,0.16326530612244897,0.029411764705882353,0.04984423676012461,272.0
accuracy,0.22013888888888888,0.22013888888888888,0.22013888888888888,0.22013888888888888
macro avg,0.2276582923102763,0.21373879065076604,0.17724465138313833,1440.0
weighted avg,0.2277940725686625,0.22013888888888888,0.18176700696133855,1440.0
