,precision,recall,f1-score,support
calm,0.4962962962962963,0.5234375,0.5095057034220533,256.0
focused,0.6188340807174888,0.575,0.5961123110151187,240.0
mixed,0.547945205479452,0.5263157894736842,0.5369127516778524,228.0
neutral,0.5809128630705395,0.5857740585774058,0.5833333333333334,239.0
overwhelmed,0.5508474576271186,0.5726872246696035,0.5615550755939525,227.0
restless,0.5856573705179283,0.588,0.5868263473053892,250.0
accuracy,0.5618055555555556,0.5618055555555556,0.5618055555555556,0.5618055555555556
macro avg,0.5634155456181372,0.561869095453449,0.5623742537246166,1440.0
weighted avg,0.5630544637903203,0.5618055555555556,0.5621616512187956,1440.0
