,precision,recall,f1-score,support
calm,0.5225563909774437,0.54296875,0.5325670498084292,256.0
focused,0.5214285714285715,0.6083333333333333,0.5615384615384615,240.0
mixed,0.5871559633027523,0.5614035087719298,0.5739910313901345,228.0
neutral,0.5875,0.5899581589958159,0.5887265135699373,239.0
overwhelmed,0.6390243902439025,0.5770925110132159,0.6064814814814815,227.0
restless,0.6017316017316018,0.556,0.577962577962578,250.0
accuracy,0.5722222222222222,0.5722222222222222,0.5722222222222222,0.5722222222222222
macro avg,0.5765661529473787,0.5726260436857159,0.573544519291837,1440.0
weighted avg,0.5754811040863725,0.5722222222222222,0.5728082834772883,1440.0
