,precision,recall,f1-score,support
1,0.20754716981132076,0.20072992700729927,0.20408163265306123,274.0
2,0.21052631578947367,0.19117647058823528,0.2003853564547206,272.0
3,0.26595744680851063,0.2533783783783784,0.25951557093425603,296.0
4,0.26956521739130435,0.2852760736196319,0.27719821162444114,326.0
5,0.1760797342192691,0.1948529411764706,0.1849912739965096,272.0
accuracy,0.22777777777777777,0.22777777777777777,0.22777777777777777,0.22777777777777777
macro avg,0.22593517680397568,0.22508275815400308,0.22523440913259773,1440.0
weighted avg,0.22821280226080853,0.22777777777777777,0.22772502556651458,1440.0
