,precision,recall,f1-score,support
calm,0.5515873015873016,0.54296875,0.547244094488189,256.0
focused,0.591304347826087,0.5666666666666667,0.5787234042553191,240.0
mixed,0.5361702127659574,0.5526315789473685,0.5442764578833693,228.0
neutral,0.6042553191489362,0.5941422594142259,0.5991561181434599,239.0
overwhelmed,0.5798319327731093,0.6079295154185022,0.5935483870967742,227.0
restless,0.536,0.536,0.536,250.0
accuracy,0.5659722222222222,0.5659722222222222,0.5659722222222222,0.5659722222222222
macro avg,0.566524852350232,0.5667231284077938,0.5664914103111853,1440.0
weighted avg,0.5662535216745416,0.5659722222222222,0.5659839817464694,1440.0
