,precision,recall,f1-score,support
1,0.25,0.24087591240875914,0.24535315985130113,274.0
2,0.1948529411764706,0.1948529411764706,0.1948529411764706,272.0
3,0.23939393939393938,0.2668918918918919,0.2523961661341853,296.0
4,0.21951219512195122,0.19325153374233128,0.20554649265905384,326.0
5,0.18118466898954705,0.19117647058823528,0.18604651162790697,272.0
accuracy,0.21736111111111112,0.21736111111111112,0.21736111111111112,0.21736111111111112
macro avg,0.21698874893638162,0.21740974996153764,0.21683905428978356,1440.0
weighted avg,0.21750264696911037,0.21736111111111112,0.21704780468376225,1440.0
